Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_Worker,Class
A14,30,existing credits paid back duly till now,radio/television,2333,500 <= ... < 1000 DM, >= 7 years,4,male : single,,2,car or other,30,Bank,Own,1,management,1,,Yes,1
A12,12,existing credits paid back duly till now,radio/television,1158,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : divorced/separated,,1,car or other,26,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,18,delay in paying off in the past,repairs,6204,< 100 DM,1 <= ... < 4 years,2,male : single,,4,real estate,44,,Own,1,unskilled - resident,2,registered under the customers name,Yes,1
A11,30,critical account,Car New,6187,100 <= ... < 500 DM,4 <= ... < 7 years,1,male : married/widowed,,4,car or other,24,,Rent,2,skilled employee,1,,Yes,1
A11,48,critical account,Car New,6143,< 100 DM, >= 7 years,4,female : divorced/separated/married,,4,no property,58,Stores,For Free,2,unskilled - resident,1,,Yes,2
A14,11,critical account,Car Used,1393,< 100 DM,< 1 year,4,female : divorced/separated/married,,4,car or other,35,,Own,2,management,1,,Yes,1
A14,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM, >= 7 years,4,male : single,,4,car or other,39,,Own,1,skilled employee,1,,Yes,1
A11,6,existing credits paid back duly till now,Car New,1352,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,,2,building society savings agreement/ life insurance,23,,Rent,1,unemployed,1,registered under the customers name,Yes,1
A14,11,critical account,Car Used,7228,< 100 DM,1 <= ... < 4 years,1,male : single,,4,building society savings agreement/ life insurance,39,,Own,2,unskilled - resident,1,,Yes,1
A14,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,,Own,1,skilled employee,1,,Yes,1
A12,24,delay in paying off in the past,furniture/equipment,2333,Unknown,< 1 year,4,male : single,,2,building society savings agreement/ life insurance,29,Bank,Own,1,unskilled - resident,1,,Yes,1
A12,27,delay in paying off in the past,Car New,5965,< 100 DM, >= 7 years,1,male : single,,2,car or other,30,,Own,2,management,1,registered under the customers name,Yes,1
A14,12,existing credits paid back duly till now,radio/television,1262,< 100 DM,1 <= ... < 4 years,3,male : single,,2,car or other,25,,Own,1,skilled employee,1,,Yes,1
A14,18,existing credits paid back duly till now,Car New,3378,Unknown,1 <= ... < 4 years,2,male : single,,1,building society savings agreement/ life insurance,31,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,36,delay in paying off in the past,Car Used,2225,< 100 DM, >= 7 years,4,male : single,,4,no property,57,Bank,For Free,2,skilled employee,1,registered under the customers name,Yes,2
A14,6,all credits at this bank paid back duly,Car Used,783,Unknown,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,Stores,Own,1,unskilled - resident,2,,Yes,1
A12,12,existing credits paid back duly till now,radio/television,6468,Unknown,unemployed,2,male : single,,1,no property,52,,Own,1,management,1,registered under the customers name,Yes,2
A14,36,critical account,radio/television,9566,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,2,car or other,31,Stores,Own,2,skilled employee,1,,Yes,1
A13,18,existing credits paid back duly till now,Car Used,1961,< 100 DM, >= 7 years,3,female : divorced/separated/married,,2,car or other,23,,Own,1,management,1,,Yes,1
A11,36,critical account,furniture/equipment,6229,< 100 DM,< 1 year,4,female : divorced/separated/married,co-applicant,4,no property,23,,Rent,2,unskilled - resident,1,registered under the customers name,Yes,2
A12,9,existing credits paid back duly till now,business,1391,< 100 DM,1 <= ... < 4 years,2,male : married/widowed,,1,real estate,27,Bank,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,15,critical account,radio/television,1537,Unknown, >= 7 years,4,male : single,guarantor,4,real estate,50,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A12,36,no credits taken/ all credits paid back duly,business,1953,< 100 DM, >= 7 years,4,male : single,,4,no property,61,,For Free,1,management,1,registered under the customers name,Yes,2
A12,48,no credits taken/ all credits paid back duly,business,14421,< 100 DM,1 <= ... < 4 years,2,male : single,,2,car or other,25,,Own,1,skilled employee,1,registered under the customers name,Yes,2
A14,24,existing credits paid back duly till now,radio/television,3181,< 100 DM,< 1 year,4,female : divorced/separated/married,,4,building society savings agreement/ life insurance,26,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,27,existing credits paid back duly till now,repairs,5190,Unknown, >= 7 years,4,male : single,,4,building society savings agreement/ life insurance,48,,Own,4,skilled employee,2,registered under the customers name,Yes,1
A14,12,existing credits paid back duly till now,radio/television,2171,< 100 DM,< 1 year,2,female : divorced/separated/married,,2,car or other,29,Bank,Own,1,skilled employee,1,,Yes,1
A12,12,existing credits paid back duly till now,Car Used,1007,. >= 1000 DM,1 <= ... < 4 years,4,male : married/widowed,,1,real estate,22,,Own,1,skilled employee,1,,Yes,1
A14,36,existing credits paid back duly till now,education,1819,< 100 DM,1 <= ... < 4 years,4,male : single,,4,no property,37,Stores,For Free,1,skilled employee,1,registered under the customers name,Yes,2
A14,36,existing credits paid back duly till now,radio/television,2394,Unknown,1 <= ... < 4 years,4,female : divorced/separated/married,,4,car or other,25,,Own,1,skilled employee,1,,Yes,1
A14,36,existing credits paid back duly till now,Car New,8133,< 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,,2,building society savings agreement/ life insurance,30,Bank,Own,1,skilled employee,1,,Yes,1
A14,7,critical account,radio/television,730,Unknown, >= 7 years,4,male : single,,2,building society savings agreement/ life insurance,46,,Rent,2,unskilled - resident,1,registered under the customers name,Yes,1
A11,8,critical account,Car New0,1164,< 100 DM, >= 7 years,3,male : single,,4,no property,51,Bank,For Free,2,management,2,registered under the customers name,Yes,1
A12,42,critical account,business,5954,< 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,,1,real estate,41,Bank,Own,2,unskilled - resident,1,,Yes,1
A11,36,existing credits paid back duly till now,education,1977,Unknown, >= 7 years,4,male : single,,4,no property,40,,Own,1,management,1,registered under the customers name,Yes,2
A11,12,critical account,Car New,1526,< 100 DM, >= 7 years,4,male : single,,4,no property,66,,For Free,2,management,1,,Yes,1
A11,42,existing credits paid back duly till now,radio/television,3965,< 100 DM,< 1 year,4,male : single,,3,car or other,34,,Own,1,skilled employee,1,,Yes,2
A12,11,delay in paying off in the past,radio/television,4771,< 100 DM,4 <= ... < 7 years,2,male : single,,4,building society savings agreement/ life insurance,51,,Own,1,skilled employee,1,,Yes,1
A14,54,no credits taken/ all credits paid back duly,Car New,9436,Unknown,1 <= ... < 4 years,2,male : single,,2,building society savings agreement/ life insurance,39,,Own,1,unskilled - resident,2,,Yes,1
A12,30,existing credits paid back duly till now,furniture/equipment,3832,< 100 DM,< 1 year,2,male : married/widowed,,1,building society savings agreement/ life insurance,22,,Own,1,skilled employee,1,,Yes,1
A14,24,existing credits paid back duly till now,radio/television,5943,Unknown,< 1 year,1,female : divorced/separated/married,,1,car or other,44,,Own,2,skilled employee,1,registered under the customers name,Yes,2
A14,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM, >= 7 years,4,male : single,,3,building society savings agreement/ life insurance,47,Stores,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,18,existing credits paid back duly till now,business,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,,4,building society savings agreement/ life insurance,24,,Rent,1,unskilled - resident,1,,Yes,1
A11,24,existing credits paid back duly till now,Car New0,1755,< 100 DM, >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,,Own,1,unskilled - resident,1,registered under the customers name,Yes,1
A11,10,existing credits paid back duly till now,radio/television,2315,< 100 DM, >= 7 years,3,male : single,,4,real estate,52,,Own,1,unskilled - resident,1,,Yes,1
A14,12,critical account,business,1412,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,,Own,2,management,1,registered under the customers name,Yes,1
A12,18,critical account,furniture/equipment,1295,< 100 DM,< 1 year,4,female : divorced/separated/married,,1,building society savings agreement/ life insurance,27,,Own,2,skilled employee,1,,Yes,1
A12,36,existing credits paid back duly till now,education,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,,4,no property,47,,For Free,1,skilled employee,2,registered under the customers name,Yes,2
A11,18,existing credits paid back duly till now,Car Used,2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,,3,car or other,30,,Own,1,management,2,registered under the customers name,Yes,1
A11,12,no credits taken/ all credits paid back duly,repairs,1108,< 100 DM,4 <= ... < 7 years,4,male : single,,3,real estate,28,,Own,2,skilled employee,1,,Yes,2
A14,12,critical account,radio/television,618,< 100 DM, >= 7 years,4,male : single,,4,real estate,56,,Own,1,skilled employee,1,,Yes,1
A11,12,critical account,Car New,1409,< 100 DM, >= 7 years,4,male : single,,3,real estate,54,,Own,1,skilled employee,1,,Yes,1
A14,12,critical account,radio/television,797,Unknown, >= 7 years,4,female : divorced/separated/married,,3,building society savings agreement/ life insurance,33,Bank,Own,1,unskilled - resident,2,,Yes,2
A13,24,critical account,furniture/equipment,3617,Unknown, >= 7 years,4,male : single,co-applicant,4,no property,20,,Rent,2,skilled employee,1,,Yes,1
A12,12,existing credits paid back duly till now,Car Used,1318,. >= 1000 DM, >= 7 years,4,male : single,,4,real estate,54,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,54,no credits taken/ all credits paid back duly,business,15945,< 100 DM,< 1 year,3,male : single,,4,no property,58,,Rent,1,skilled employee,1,registered under the customers name,Yes,2
A14,12,critical account,education,2012,Unknown,4 <= ... < 7 years,4,female : divorced/separated/married,,2,car or other,61,,Own,1,skilled employee,1,,Yes,1
A12,18,existing credits paid back duly till now,business,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,,4,car or other,34,,Own,1,skilled employee,1,,Yes,1
A12,36,critical account,radio/television,2337,< 100 DM, >= 7 years,4,male : single,,4,real estate,36,,Own,1,skilled employee,1,,Yes,1
A12,20,delay in paying off in the past,Car New,7057,Unknown,4 <= ... < 7 years,3,male : single,,4,building society savings agreement/ life insurance,36,Bank,Rent,2,management,2,registered under the customers name,Yes,1
A14,24,existing credits paid back duly till now,Car Used,1469,100 <= ... < 500 DM, >= 7 years,4,male : married/widowed,,4,real estate,41,,Rent,1,unskilled - resident,1,,Yes,1
A12,36,existing credits paid back duly till now,radio/television,2323,< 100 DM,4 <= ... < 7 years,4,male : single,,4,car or other,24,,Rent,1,skilled employee,1,,Yes,1
A14,6,delay in paying off in the past,radio/television,932,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,,2,real estate,24,,Own,1,skilled employee,1,,Yes,1
A12,9,critical account,furniture/equipment,1919,< 100 DM,4 <= ... < 7 years,4,male : single,,3,car or other,35,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A14,12,existing credits paid back duly till now,Car New,2445,Unknown,< 1 year,2,male : married/widowed,,4,car or other,26,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A12,24,critical account,Car New0,11938,< 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,,Own,2,management,2,registered under the customers name,Yes,2
A14,18,all credits at this bank paid back duly,Car Used,6458,< 100 DM, >= 7 years,2,male : single,,4,no property,39,Bank,Own,2,management,2,registered under the customers name,Yes,2
A12,12,existing credits paid back duly till now,Car Used,6078,< 100 DM,4 <= ... < 7 years,2,male : single,,2,car or other,32,,Own,1,skilled employee,1,,Yes,1
A11,24,existing credits paid back duly till now,furniture/equipment,7721,Unknown,< 1 year,1,female : divorced/separated/married,,2,building society savings agreement/ life insurance,30,,Own,1,skilled employee,1,registered under the customers name,No,1
A12,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM, >= 7 years,1,male : married/widowed,,2,real estate,35,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,6,delay in paying off in the past,business,1449,100 <= ... < 500 DM, >= 7 years,1,male : divorced/separated,,2,car or other,31,Bank,Own,2,skilled employee,2,,Yes,1
A13,15,existing credits paid back duly till now,education,392,< 100 DM,< 1 year,4,female : divorced/separated/married,,4,building society savings agreement/ life insurance,23,,Rent,1,skilled employee,1,registered under the customers name,Yes,1
A12,18,existing credits paid back duly till now,Car Used,6260,< 100 DM,4 <= ... < 7 years,3,male : single,,3,real estate,28,,Rent,1,unskilled - resident,1,,Yes,1
A14,36,critical account,Car Used,7855,< 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,,2,real estate,25,Stores,Own,2,skilled employee,1,registered under the customers name,Yes,2
A11,12,existing credits paid back duly till now,radio/television,1680,500 <= ... < 1000 DM, >= 7 years,3,male : married/widowed,,1,real estate,35,,Own,1,skilled employee,1,,Yes,1
A14,48,critical account,radio/television,3578,Unknown, >= 7 years,4,male : single,,1,real estate,47,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A11,42,existing credits paid back duly till now,radio/television,7174,Unknown,4 <= ... < 7 years,4,female : divorced/separated/married,,3,car or other,30,,Own,1,management,1,registered under the customers name,Yes,2
A11,10,critical account,furniture/equipment,2132,Unknown,< 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,,Rent,2,skilled employee,1,,No,1
A11,33,critical account,furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,,4,car or other,23,,Own,2,skilled employee,1,,Yes,2
A12,12,critical account,Car Used,2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,,3,car or other,36,,Own,1,management,1,registered under the customers name,Yes,1
A11,21,existing credits paid back duly till now,radio/television,1835,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,,2,real estate,25,,Own,2,skilled employee,1,registered under the customers name,Yes,2
A14,24,critical account,Car New,3868,< 100 DM, >= 7 years,4,female : divorced/separated/married,,2,car or other,41,,Rent,2,management,1,registered under the customers name,Yes,1
A14,12,existing credits paid back duly till now,furniture/equipment,1768,< 100 DM,1 <= ... < 4 years,3,male : single,,2,real estate,24,,Rent,1,unskilled - resident,1,,Yes,1
A13,10,critical account,Car Used,781,< 100 DM, >= 7 years,4,male : single,,4,no property,63,,For Free,2,skilled employee,1,registered under the customers name,Yes,1
A12,18,existing credits paid back duly till now,furniture/equipment,1924,Unknown,< 1 year,4,female : divorced/separated/married,,3,real estate,27,,Rent,1,skilled employee,1,,Yes,2
A11,12,critical account,Car Used,2121,< 100 DM,1 <= ... < 4 years,4,male : single,,2,building society savings agreement/ life insurance,30,,Own,2,skilled employee,1,,Yes,1
A11,12,existing credits paid back duly till now,radio/television,701,< 100 DM,1 <= ... < 4 years,4,male : married/widowed,,2,real estate,40,,Own,1,unskilled - resident,1,,Yes,1
A12,12,existing credits paid back duly till now,repairs,639,< 100 DM,1 <= ... < 4 years,4,male : single,,2,car or other,30,,Own,1,skilled employee,1,,Yes,2
A12,12,critical account,Car New,1860,< 100 DM,unemployed,4,male : single,,2,car or other,34,,Own,2,management,1,registered under the customers name,Yes,1
A11,12,critical account,Car Used,3499,< 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,co-applicant,2,real estate,29,,Own,2,skilled employee,1,,Yes,2
A12,48,existing credits paid back duly till now,Car Used,8487,Unknown,4 <= ... < 7 years,1,female : divorced/separated/married,,2,car or other,24,,Own,1,skilled employee,1,,Yes,1
A11,36,delay in paying off in the past,education,6887,< 100 DM,1 <= ... < 4 years,4,male : single,,3,building society savings agreement/ life insurance,29,Stores,Own,1,skilled employee,1,registered under the customers name,Yes,2
A14,15,existing credits paid back duly till now,furniture/equipment,2708,< 100 DM,< 1 year,2,male : single,,3,building society savings agreement/ life insurance,27,Bank,Own,2,unskilled - resident,1,,Yes,1
A14,18,existing credits paid back duly till now,furniture/equipment,1984,< 100 DM,1 <= ... < 4 years,4,male : single,,4,no property,47,Bank,For Free,2,skilled employee,1,,Yes,1
A14,60,existing credits paid back duly till now,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,,4,real estate,21,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A14,12,critical account,radio/television,1240,Unknown, >= 7 years,4,female : divorced/separated/married,,2,real estate,38,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,27,delay in paying off in the past,Car New,8613,. >= 1000 DM,1 <= ... < 4 years,2,male : single,,2,car or other,27,,Own,2,skilled employee,1,,Yes,1
A12,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,,3,real estate,66,,Own,1,unskilled - resident,1,,Yes,2
A12,15,critical account,radio/television,2728,Unknown,4 <= ... < 7 years,4,male : single,guarantor,2,real estate,35,Bank,Own,3,skilled employee,1,registered under the customers name,Yes,1
A13,12,existing credits paid back duly till now,radio/television,1881,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,2,car or other,44,,Rent,1,unskilled - resident,1,registered under the customers name,Yes,1
A13,6,existing credits paid back duly till now,Car Used,709,. >= 1000 DM,< 1 year,2,male : married/widowed,,2,real estate,27,,Own,1,unemployed,1,,No,1
A12,36,existing credits paid back duly till now,radio/television,4795,< 100 DM,< 1 year,4,female : divorced/separated/married,,1,no property,30,,Own,1,management,1,registered under the customers name,Yes,1
A11,27,existing credits paid back duly till now,radio/television,3416,< 100 DM,1 <= ... < 4 years,3,male : single,,2,car or other,27,,Own,1,management,1,,Yes,1
A11,18,existing credits paid back duly till now,furniture/equipment,2462,< 100 DM,1 <= ... < 4 years,2,male : single,,2,car or other,22,,Own,1,skilled employee,1,,Yes,2
A14,21,critical account,furniture/equipment,2288,< 100 DM,< 1 year,4,female : divorced/separated/married,,4,building society savings agreement/ life insurance,23,,Own,1,skilled employee,1,registered under the customers name,Yes,1
A12,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,,2,car or other,30,,Own,1,skilled employee,1,,Yes,1
A11,6,critical account,Car Used,860,< 100 DM, >= 7 years,1,female : divorced/separated/married,,4,no property,39,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,12,critical account,Car Used,682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,,3,car or other,51,,Own,2,skilled employee,1,registered under the customers name,Yes,1
A11,36,critical account,furniture/equipment,5371,< 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/ life insurance,28,,Own,2,skilled employee,1,,Yes,1
A14,18,critical account,radio/television,1582,. >= 1000 DM, >= 7 years,4,male : single,,4,car or other,46,,Own,2,skilled employee,1,,Yes,1
A14,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM, >= 7 years,2,male : single,,4,no property,42,Bank,For Free,1,skilled employee,2,registered under the customers name,Yes,1
A14,10,existing credits paid back duly till now,radio/television,1924,< 100 DM,1 <= ... < 4 years,1,male : single,,4,building society savings agreement/ life insurance,38,,Own,1,skilled employee,1,registered under the customers name,No,1
A13,36,existing credits paid back duly till now,radio/television,5848,< 100 DM,1 <= ... < 4 years,4,male : single,,1,car or other,24,,Own,1,skilled employee,1,,Yes,1
A12,24,critical account,Car New,7758,. >= 1000 DM, >= 7 years,2,female : divorced/separated/married,,4,no property,29,,Rent,1,skilled employee,1,,Yes,1
A12,24,delay in paying off in the past,business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,,4,car or other,36,,Rent,1,management,1,registered under the customers name,Yes,1
A11,12,existing credits paid back duly till now,furniture/equipment,1282,< 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,,4,car or other,20,,Rent,1,skilled employee,1,,Yes,2
A11,9,critical account,repairs,1288,100 <= ... < 500 DM, >= 7 years,3,male : single,guarantor,4,real estate,48,,Own,2,skilled employee,2,,No,1
A11,12,all credits at this bank paid back duly,retraining,339,< 100 DM, >= 7 years,4,male : married/widowed,,1,car or other,45,Bank,Own,1,unskilled - resident,1,,Yes,1
A12,24,existing credits paid back duly till now,Car Used,3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,,3,car or other,38,Bank,Own,2,skilled employee,1,registered under the customers name,Yes,1
A14,6,critical account,radio/television,1898,Unknown,1 <= ... < 4 years,1,male : single,,2,real estate,34,,Own,2,unskilled - resident,2,,Yes,1
A14,24,critical account,radio/television,2872,100 <= ... < 500 DM, >= 7 years,3,male : single,,4,real estate,36,,Own,1,skilled employee,2,registered under the customers name,Yes,1
A14,18,critical account,Car Used,1055,< 100 DM,< 1 year,4,female : divorced/separated/married,,1,building society savings agreement/ life insurance,30,,Own,2,skilled employee,1,,Yes,1
